     27983:	symbol=__vdso_clock_gettime;  lookup in file=linux-vdso.so.1 [0]
     27983:	symbol=__vdso_gettimeofday;  lookup in file=linux-vdso.so.1 [0]
     27983:	symbol=__vdso_time;  lookup in file=linux-vdso.so.1 [0]
     27983:	symbol=__vdso_getcpu;  lookup in file=linux-vdso.so.1 [0]
     27983:	symbol=__vdso_clock_getres;  lookup in file=linux-vdso.so.1 [0]
     27983:	symbol=_res;  lookup in file=./hello [0]
     27983:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=stderr;  lookup in file=./hello [0]
     27983:	symbol=stderr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=error_one_per_line;  lookup in file=./hello [0]
     27983:	symbol=error_one_per_line;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__morecore;  lookup in file=./hello [0]
     27983:	symbol=__morecore;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=./hello [0]
     27983:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__libpthread_freeres;  lookup in file=./hello [0]
     27983:	symbol=__libpthread_freeres;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__libpthread_freeres;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=__progname_full;  lookup in file=./hello [0]
     27983:	symbol=__progname_full;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=__ctype32_tolower;  lookup in file=./hello [0]
     27983:	symbol=__ctype32_tolower;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_rtld_global;  lookup in file=./hello [0]
     27983:	symbol=_rtld_global;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     27983:	symbol=_rtld_global;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     27983:	symbol=__progname;  lookup in file=./hello [0]
